time,temp
2.76,2025-04-0619:39:13
2.76,2025-04-0619:50:09
3.76,2025-04-0620:30:41
3.76,2025-04-0620:42:49
3.76,2025-04-0620:53:43
2.76,2025-04-0621:27:45
2.76,2025-04-0621:40:36
2.76,2025-04-0621:51:41
3.76,2025-04-0622:33:04
3.76,2025-04-0622:44:04
3.76,2025-04-0622:54:51
8.76,2025-04-0623:27:09
8.76,2025-04-0623:39:55
8.76,2025-04-0623:51:01
15.76,2025-04-0703:11:41
17.76,2025-04-0703:52:46
17.76,2025-04-0704:40:25
17.76,2025-04-0704:52:24
18.76,2025-04-0705:38:04
18.76,2025-04-0705:49:06
18.76,2025-04-0705:59:56
19.76,2025-04-0706:50:22
18.76,2025-04-0707:31:32
18.76,2025-04-0707:43:39
18.76,2025-04-0707:54:37
17.76,2025-04-0708:47:23
17.76,2025-04-0708:58:24
16.76,2025-04-0709:37:43
16.76,2025-04-0709:48:41
16.76,2025-04-0709:59:29
15.76,2025-04-0710:44:08
15.76,2025-04-0710:55:11
14.76,2025-04-0711:26:57
14.76,2025-04-0711:40:11
14.76,2025-04-0711:51:01
14.76,2025-04-0713:19:46
14.76,2025-04-0713:47:48
14.76,2025-04-0713:58:57
13.76,2025-04-0714:42:37
13.76,2025-04-0714:53:40
12.76,2025-04-0715:36:11
12.76,2025-04-0715:48:04
12.76,2025-04-0715:58:53
12.76,2025-04-0716:47:55
12.76,2025-04-0716:58:42
11.76,2025-04-0717:34:17
11.76,2025-04-0717:45:14
11.76,2025-04-0717:56:05
10.76,2025-04-0718:43:51
10.76,2025-04-0718:54:51
9.56,2025-04-0719:23:58
9.76,2025-04-0719:39:23
9.76,2025-04-0719:50:51
9.76,2025-04-0720:34:01
9.76,2025-04-0720:46:42
9.76,2025-04-0720:57:58
9.76,2025-04-0721:31:33
9.76,2025-04-0721:43:41
9.76,2025-04-0721:55:43
9.76,2025-04-0722:37:00
9.76,2025-04-0722:47:53
9.76,2025-04-0722:59:07
10.76,2025-04-0723:32:00
10.76,2025-04-0723:43:29
10.76,2025-04-0723:54:17
17.16,2025-04-0803:07:50
15.76,2025-04-0803:51:51
16.76,2025-04-0804:41:22
16.76,2025-04-0804:54:29
17.76,2025-04-0805:37:51
17.76,2025-04-0805:48:55
17.76,2025-04-0806:00:00
17.76,2025-04-0806:49:53
17.76,2025-04-0807:29:35
17.76,2025-04-0807:41:55
17.76,2025-04-0807:52:53
17.76,2025-04-0808:47:08
17.76,2025-04-0808:57:58
15.76,2025-04-0809:37:34
15.76,2025-04-0809:48:49
15.76,2025-04-0809:59:45
13.76,2025-04-0810:44:01
13.76,2025-04-0810:55:18
12.76,2025-04-0811:26:44
12.76,2025-04-0811:41:13
12.76,2025-04-0811:52:10
9.76,2025-04-0813:34:28
9.76,2025-04-0813:50:19
7.76,2025-04-0814:41:00
7.76,2025-04-0814:52:21
6.76,2025-04-0815:38:28
6.76,2025-04-0815:50:08
6.76,2025-04-0816:47:11
6.76,2025-04-0816:58:07
5.76,2025-04-0817:36:33
5.76,2025-04-0817:47:24
5.76,2025-04-0817:58:24
5.76,2025-04-0818:49:16
5.76,2025-04-0819:00:24
5.76,2025-04-0819:26:03
5.76,2025-04-0819:39:54
5.76,2025-04-0819:50:54
6.76,2025-04-0820:35:25
6.76,2025-04-0820:49:29
6.76,2025-04-0821:28:54
6.76,2025-04-0821:42:11
6.76,2025-04-0821:53:15
7.76,2025-04-0822:37:10
7.76,2025-04-0822:48:07
7.76,2025-04-0822:59:06
10.76,2025-04-0823:30:29
10.76,2025-04-0823:42:29
10.76,2025-04-0823:53:24
15.76,2025-04-0903:09:21
16.76,2025-04-0903:52:13
17.76,2025-04-0904:40:20
17.76,2025-04-0904:54:39
15.76,2025-04-0905:37:51
15.76,2025-04-0905:49:04
15.76,2025-04-0906:00:09
14.76,2025-04-0906:50:11
12.76,2025-04-0907:29:49
12.76,2025-04-0907:42:51
12.76,2025-04-0907:53:59
13.76,2025-04-0908:50:13
13.76,2025-04-0909:38:00
13.76,2025-04-0909:49:45
11.76,2025-04-0910:46:19
11.76,2025-04-0910:57:54
10.76,2025-04-0911:26:56
10.76,2025-04-0911:39:57
10.76,2025-04-0911:51:21
9.76,2025-04-0913:37:00
9.76,2025-04-0913:56:35
10.76,2025-04-0914:45:16
10.76,2025-04-0914:56:06
12.09,2025-04-0915:40:55
9.76,2025-04-0915:52:38
9.76,2025-04-0916:50:24
8.76,2025-04-0917:33:43
8.76,2025-04-0917:45:07
8.76,2025-04-0917:55:54
8.76,2025-04-0918:46:46
8.76,2025-04-0918:57:40
9.94,2025-04-0919:25:04
8.76,2025-04-0919:39:29
8.76,2025-04-0919:50:34
7.76,2025-04-0920:34:27
6.76,2025-04-0920:51:39
5.76,2025-04-0921:26:51
5.76,2025-04-0921:40:00
5.76,2025-04-0921:51:17
6.76,2025-04-0922:32:45
6.76,2025-04-0922:44:06
6.76,2025-04-0922:55:17
9.76,2025-04-0923:29:06
9.76,2025-04-0923:41:50
9.76,2025-04-0923:53:08
15.76,2025-04-1003:09:40
15.76,2025-04-1003:52:55
17.76,2025-04-1004:43:09
17.76,2025-04-1004:54:33
17.76,2025-04-1005:37:40
17.76,2025-04-1005:48:49
17.76,2025-04-1005:59:45
17.76,2025-04-1006:49:32
